username,id_status,nama,tempat_lahir,tanggal_lahir,alamat_jalan,kelurahan,kecamatan,kabupaten_kota,provinsi,agama,jenis_kelamin,no_kk,nik,gol_darah,image,nip,lulusan,jenjang_pendidikan,gelar,is_wali_kelas,is_wali_pengajar,create_date,update_date,created_by,update_by
09/04/1979101219952019,Bukan Tetap,Mared Lowe,Bandung,09/04/1979,J. Bawang,Cicaheum,Kiara Condong,Bandung,Jawa Barat,Islam,P,1232141,12312,B,--,09/04/1979101219952019,Politeknik A:Matematika,D3,-,-,-,06/16/2006,06/16/2006,,
09/23/1978122119962020,Bukan Tetap,Mathilda Stein,Bandung,09/23/1978,J. Bawang,Cicaheum,Kiara Condong,Bandung,Jawa Barat,Islam,P,1232141,12312,A,--,09/23/1978122119962020,Universitas A:Akuntansi,D4,-,-,-,01/13/2007,01/13/2007,,
04/08/1975061819981021,Tetap,Naeem Foley,Bandung,04/08/1975,J. Bawang,Cicaheum,Kiara Condong,Bandung,Jawa Barat,Islam,L,1232141,12312,B,--,04/08/1975061819981021,Universitas C:T. Elektro,D1,-,-,-,05/08/2007,05/08/2007,,
10/27/1977101719952022,Tetap,Maggie Wiley,Bandung,10/27/1977,J. Bawang,Cicaheum,Kiara Condong,Bandung,Jawa Barat,Islam,P,1232141,12312,O,--,10/27/1977101719952022,Universitas B:T. Kimia,D1,-,-,-,06/16/2006,06/16/2006,,
03/25/1975031419962023,Bukan Tetap,Kye Finley,Bandung,03/25/1975,J. Bawang,Cicaheum,Kiara Condong,Bandung,Jawa Barat,Islam,P,1232141,12312,O,--,03/25/1975031419962023,Politeknik A:Matematika,D2,-,-,-,06/29/2005,06/29/2005,,
08/11/1979041019971024,Bukan Tetap,Ayat Whitehead,Bandung,08/11/1979,J. Bawang,Cicaheum,Kiara Condong,Bandung,Jawa Barat,Islam,L,1232141,12312,A,--,08/11/1979041019971024,Institut C:T. Elektro,D4,-,-,-,08/28/2006,08/28/2006,,
04/10/1977122619951025,Tetap,Arham Parsons,Bandung,04/10/1977,J. Bawang,Cicaheum,Kiara Condong,Bandung,Jawa Barat,Islam,L,1232141,12312,B,--,04/10/1977122619951025,Universitas A:T. Kimia,D1,-,-,-,06/25/2007,06/25/2007,,
05/03/1977062419971026,Bukan Tetap,Rudra Schroeder,Bandung,05/03/1977,J. Bawang,Cicaheum,Kiara Condong,Bandung,Jawa Barat,Islam,L,1232141,12312,B,--,05/03/1977062419971026,Universitas A:Akuntansi,S1,-,-,-,07/08/2006,07/08/2006,,
09/17/1977082619961027,Bukan Tetap,Aalia Bostock,Bandung,09/17/1977,J. Bawang,Cicaheum,Kiara Condong,Bandung,Jawa Barat,Islam,L,1232141,12312,O,--,09/17/1977082619961027,Politeknik A:Pend. Matematika,S2,-,-,-,11/25/2007,11/25/2007,,
09/30/1979091619961028,Bukan Tetap,Kiki Clegg,Bandung,09/30/1979,J. Bawang,Cicaheum,Kiara Condong,Bandung,Jawa Barat,Islam,L,1232141,12312,O,--,09/30/1979091619961028,Universitas A:T. Kimia,D3,-,-,-,01/09/2007,01/09/2007,,
05/08/1978100719952029,Tetap,Ryan Hall,Bandung,05/08/1978,J. Bawang,Cicaheum,Kiara Condong,Bandung,Jawa Barat,Islam,P,1232141,12312,A,--,05/08/1978100719952029,Universitas B:T. Kimia,S2,-,-,-,12/15/2005,12/15/2005,,
